Time (UTC);WT_WW-P-50.215.ThHy_ext.PU315;eta_total_electric_power;hex1_on_off;central_machine_heating_on_off;EV_NVP.Elek_P.TGA;chp1_electric_power;static_heating_volume_flow;t_amb;hex1_thermal_load;static_heating_on_off;chp2_electric_power;bproductionmodeactivated;static_heating_thermal_load;central_machine_heating_volume_flow;ThSp_VC-100E.395.ThHy_T_ob;central_machine_heating_thermal_load;hex1_volume_flow_hnht;eta_without_hnht_electric_power;zero_thermal_load;bsetstatusonalgorithm;bheatingmodeactivated;chp_index;feed_in_tariff_euro_per_kWh;chp_remuneration_self_consumption_euro_per_kWh;electricity_price_euro_per_kWh;CO2_intensity_gCO2_per_kWh;gas_price_euro_per_kWh
2026-01-01 00:00:00;23,61998748779297;7,287992000579834;0;0;6,292412281036377;0,0;0,0;17,920000076293945;-0,0;0;0,0;1,0;-0,0;0,0;68,35835266113281;-0,0;0,0;7,287992000579834;0;1;1;0,07176;0,16026;0,04;0,24013;575,295;0,08
2026-01-01 00:01:00;23,61998748779297;7,281669616699219;0;0;6,340094089508057;0,0;0,0;17,920000076293945;-0,0;0;0,0;1,0;-0,0;0,0;68,35643768310547;-0,0;0,0;7,281669616699219;0;1;1;0,07176;0,16026;0,04;0,24013;575,295;0,08
2026-01-01 00:02:00;23,61998748779297;7,332732200622559;0;0;6,304635524749756;0,0;0,0;17,920000076293945;-0,0;0;0,0;1,0;-0,0;0,0;68,35159301757812;-0,0;0,0;7,332732200622559;0;1;1;0,07176;0,16026;0,04;0,24013;575,295;0,08
2026-01-01 00:03:00;23,61998748779297;7,269018650054932;0;0;6,233407020568848;0,0;0,0;17,920000076293945;-0,0;0;0,0;1,0;-0,0;0,0;68,3493423461914;-0,0;0,0;7,269018650054932;0;1;1;0,07176;0,16026;0,04;0,24013;575,295;0,08
2026-01-01 00:04:00;23,61998748779297;7,330075263977051;0;0;6,325619697570801;0,0;0,0;17,920000076293945;-0,0;0;0,0;1,0;-0,0;0,0;68,34146118164062;-0,0;0,0;7,330075263977051;0;1;1;0,07176;0,16026;0,04;0,24013;575,295;0,08
2026-01-01 00:05:00;23,61998748779297;7,365936756134033;0;0;6,301321506500244;0,0;0,0;17,920000076293945;-0,0;0;0,0;1,0;-0,0;0,0;68,33611297607422;-0,0;0,0;7,365936756134033;0;1;1;0,07176;0,16026;0,04;0,24013;575,295;0,08
2026-01-01 00:06:00;23,61998748779297;7,230340480804443;0;0;6,221354007720947;0,0;0,0;17,854705810546875;-0,0;0;0,0;1,0;-0,0;0,0;68,33634185791016;-0,0;0,0;7,230340480804443;0;1;1;0,07176;0,16026;0,04;0,24013;575,295;0,08
2026-01-01 00:07:00;23,61998748779297;7,242016792297363;0;0;6,23586368560791;0,0;0,0;17,760000228881836;-0,0;0;0,0;1,0;-0,0;0,0;68,32998657226562;-0,0;0,0;7,242016792297363;0;1;1;0,07176;0,16026;0,04;0,24013;575,295;0,08
2026-01-01 00:08:00;23,61998748779297;7,775005340576172;0;0;6,24032735824585;0,0;0,0;17,760000228881836;-0,0;0;0,0;1,0;-0,0;0,0;68,32332611083984;-0,0;0,0;7,775005340576172;0;1;1;0,07176;0,16026;0,04;0,24013;575,295;0,08
2026-01-01 00:09:00;23,61998748779297;9,273195266723633;0;0;6,197448253631592;0,0;0,0;17,760000228881836;-0,0;0;0,0;1,0;-0,0;0,0;68,31877136230469;-0,0;0,0;9,273195266723633;0;1;1;0,07176;0,16026;0,04;0,24013;575,295;0,08
2026-01-01 00:10:00;23,61998748779297;9,186060905456545;0;0;6,284538745880127;0,0;0,0;17,760000228881836;-0,0;0;0,0;1,0;-0,0;0,0;68,31581115722656;-0,0;0,0;9,186060905456545;0;1;1;0,07176;0,16026;0,04;0,24013;575,295;0,08
2026-01-01 00:11:00;23,61998748779297;9,21823501586914;0;0;6,255434513092041;0,0;0,0;17,727203369140625;-0,0;0;0,0;1,0;-0,0;0,0;68,31329345703125;-0,0;0,0;9,21823501586914;0;1;1;0,07176;0,16026;0,04;0,24013;575,295;0,08
2026-01-01 00:12:00;23,61998748779297;9,23367977142334;0;0;6,260215759277344;0,0;0,0;17,68000030517578;-0,0;0;0,0;1,0;-0,0;0,0;68,30999755859375;-0,0;0,0;9,23367977142334;0;1;1;0,07176;0,16026;0,04;0,24013;575,295;0,08
2026-01-01 00:13:00;23,61998748779297;9,198222160339355;0;0;6,245216369628906;0,0;0,0;17,68000030517578;-0,0;0;0,0;1,0;-0,0;0,0;68,3101577758789;-0,0;0,0;9,198222160339355;0;1;1;0,07176;0,16026;0,04;0,24013;575,295;0,08
2026-01-01 00:14:00;23,61998748779297;9,121971130371094;0;0;6,191708564758301;0,0;0,0;17,68000030517578;-0,0;0;0,0;1,0;-0,0;0,0;68,30680084228516;-0,0;0,0;9,121971130371094;0;1;1;0,07176;0,16026;0,04;0,24013;575,295;0,08
2026-01-01 00:15:00;23,61998748779297;9,16116428375244;0;0;6,237767696380615;0,0;0,0;17,68000030517578;-0,0;0;0,0;1,0;-0,0;0,0;68,30091857910156;-0,0;0,0;9,16116428375244;0;1;1;0,07176;0,16026;0,04;0,24013;575,295;0,08
2026-01-01 00:16:00;23,61998748779297;9,222648620605469;0;0;6,247774600982666;0,0;0,0;17,68000030517578;-0,0;0;0,0;1,0;-0,0;0,0;68,29496002197266;-0,0;0,0;9,222648620605469;0;1;1;0,07176;0,16026;0,04;0,24013;575,295;0,08
2026-01-01 00:17:00;23,61998748779297;9,203676223754885;0;0;6,227536201477051;0,0;0,0;17,68000030517578;-0,0;0;0,0;1,0;-0,0;0,0;68,29425048828125;-0,0;0,0;9,203676223754885;0;1;1;0,07176;0,16026;0,04;0,24013;575,295;0,08
2026-01-01 00:18:00;23,61998748779297;9,13659381866455;0;0;6,252078533172607;0,0;0,0;17,68000030517578;-0,0;0;0,0;1,0;-0,0;0,0;68,29241943359375;-0,0;0,0;9,13659381866455;0;1;1;0,07176;0,16026;0,04;0,24013;575,295;0,08
2026-01-01 00:19:00;23,61998748779297;9,081009864807127;0;0;6,178923606872559;0,0;0,0;17,68000030517578;-0,0;0;0,0;1,0;-0,0;0,0;68,2958984375;-0,0;0,0;9,081009864807127;0;1;1;0,07176;0,16026;0,04;0,24013;575,295;0,08
2026-01-01 00:20:00;23,61998748779297;9,284331321716309;0;0;6,379090309143066;0,0;0,0;17,68000030517578;-0,0;0;0,0;1,0;-0,0;0,0;68,27198791503906;-0,0;0,0;9,284331321716309;0;1;1;0,07176;0,16026;0,04;0,24013;575,295;0,08
2026-01-01 00:21:00;23,61998748779297;9,389988899230955;0;0;6,500234603881836;0,0;0,0;17,64755630493164;-0,0;0;0,0;1,0;-0,0;0,0;68,2699966430664;-0,0;0,0;9,389988899230955;0;1;1;0,07176;0,16026;0,04;0,24013;575,295;0,08
2026-01-01 00:22:00;23,61998748779297;9,42629051208496;0;0;6,4004974365234375;0,0;0,0;17,600000381469727;-0,0;0;0,0;1,0;-0,0;0,0;68,27151489257812;-0,0;0,0;9,42629051208496;0;1;1;0,07176;0,16026;0,04;0,24013;575,295;0,08
2026-01-01 00:23:00;23,61998748779297;9,13552188873291;0;0;6,180413246154785;0,0;0,0;17,600000381469727;-0,0;0;0,0;1,0;-0,0;0,0;68,26773834228516;-0,0;0,0;9,13552188873291;0;1;1;0,07176;0,16026;0,04;0,24013;575,295;0,08
2026-01-01 00:24:00;23,61998748779297;8,74006175994873;0;0;6,173669815063477;0,0;0,0;17,600000381469727;-0,0;0;0,0;1,0;-0,0;0,0;68,26399230957031;-0,0;0,0;8,74006175994873;0;1;1;0,07176;0,16026;0,04;0,24013;575,295;0,08
2026-01-01 00:25:00;23,61998748779297;7,088923454284668;0;0;6,187372207641602;0,0;0,0;17,600000381469727;-0,0;0;0,0;1,0;-0,0;0,0;68,26101684570312;-0,0;0,0;7,088923454284668;0;1;1;0,07176;0,16026;0,04;0,24013;575,295;0,08
2026-01-01 00:26:00;23,61998748779297;7,168011665344238;0;0;6,215425968170166;0,0;0,0;17,600000381469727;-0,0;0;0,0;1,0;-0,0;0,0;68,25843811035156;-0,0;0,0;7,168011665344238;0;1;1;0,07176;0,16026;0,04;0,24013;575,295;0,08
2026-01-01 00:27:00;23,61998748779297;7,116466999053955;0;0;6,205912113189697;0,0;0,0;17,600000381469727;-0,0;0;0,0;1,0;-0,0;0,0;68,25595092773438;-0,0;0,0;7,116466999053955;0;1;1;0,07176;0,16026;0,04;0,24013;575,295;0,08
2026-01-01 00:28:00;23,61998748779297;7,131928443908691;0;0;6,190933704376221;0,0;0,0;17,600000381469727;-0,0;0;0,0;1,0;-0,0;0,0;68,25094604492188;-0,0;0,0;7,131928443908691;0;1;1;0,07176;0,16026;0,04;0,24013;575,295;0,08
2026-01-01 00:29:00;23,61998748779297;7,083111763000488;0;0;6,103869438171387;0,0;0,0;17,600000381469727;-0,0;0;0,0;1,0;-0,0;0,0;68,24928283691406;-0,0;0,0;7,083111763000488;0;1;1;0,07176;0,16026;0,04;0,24013;575,295;0,08
2026-01-01 00:30:00;23,61998748779297;7,168471813201904;0;0;6,246149063110352;0,0;0,0;17,600000381469727;-0,0;0;0,0;1,0;-0,0;0,0;68,24256134033203;-0,0;0,0;7,168471813201904;0;1;1;0,07176;0,16026;0,04;0,24013;575,295;0,08
2026-01-01 00:31:00;23,61998748779297;7,175224781036377;0;0;6,232318878173828;0,0;0,0;17,567306518554688;-0,0;0;0,0;1,0;-0,0;0,0;68,2390365600586;-0,0;0,0;7,175224781036377;0;1;1;0,07176;0,16026;0,04;0,24013;575,295;0,08
2026-01-01 00:32:00;23,61998748779297;7,159132957458496;0;0;6,192530155181885;0,0;0,0;17,520000457763672;-0,0;0;0,0;1,0;-0,0;0,0;68,23760986328125;-0,0;0,0;7,159132957458496;0;1;1;0,07176;0,16026;0,04;0,24013;575,295;0,08
2026-01-01 00:33:00;23,61998748779297;7,118934154510498;0;0;6,14787483215332;0,0;0,0;17,520000457763672;-0,0;0;0,0;1,0;-0,0;0,0;68,22523498535156;-0,0;0,0;7,118934154510498;0;1;1;0,07176;0,16026;0,04;0,24013;575,295;0,08
2026-01-01 00:34:00;23,61998748779297;7,161294460296631;0;0;6,1591644287109375;0,0;0,0;17,520000457763672;-0,0;0;0,0;1,0;-0,0;0,0;68,22331237792969;-0,0;0,0;7,161294460296631;0;1;1;0,07176;0,16026;0,04;0,24013;575,295;0,08
2026-01-01 00:35:00;23,61998748779297;7,140331268310547;0;0;6,143393039703369;0,0;0,0;17,520000457763672;-0,0;0;0,0;1,0;-0,0;0,0;68,22216796875;-0,0;0,0;7,140331268310547;0;1;1;0,07176;0,16026;0,04;0,24013;575,295;0,08
2026-01-01 00:36:00;23,61998748779297;7,0800862312316895;0;0;6,209740161895752;0,0;0,0;17,520000457763672;-0,0;0;0,0;1,0;-0,0;0,0;68,2176513671875;-0,0;0,0;7,0800862312316895;0;1;1;0,07176;0,16026;0,04;0,24013;575,295;0,08
2026-01-01 00:37:00;23,61998748779297;7,124558448791504;0;0;6,193536281585693;0,0;0,0;17,520000457763672;-0,0;0;0,0;1,0;-0,0;0,0;68,21333312988281;-0,0;0,0;7,124558448791504;0;1;1;0,07176;0,16026;0,04;0,24013;575,295;0,08
